model,split,record,filename,temperature_c,amplitude_token,n_score,init_method,s0,soc_min,soc_max,r0_min_ohm,r0_max_ohm,r0_negative_fraction,stable_fraction,rmse_mv,mae_mv,max_abs_mv,bias_mv,nrmse
BATT3c_OCV_discharge_only,validation_temperature,A002_05_-15C,DYNdata/A002_DYN/A002_DYN_05_N15.mat,-15,5,37360,prefix_output_error,0.98,0.10180357360222536,0.98,0.0,0.0,0.0,1.0,105.54244419502837,72.07655471378447,501.83377163183707,36.32182969921062,0.569546663912878
BATT3c_OCV_discharge_only,train,A002_05_-25C,DYNdata/A002_DYN/A002_DYN_05_N25.mat,-25,5,39005,training_fit,0.8647274881028315,0.012459456136977742,0.8647274881028315,0.0,0.0,0.0,1.0,141.53469534270906,112.46821608564159,490.4080055779376,33.053997385528724,0.4025496137555002
BATT3c_OCV_discharge_only,validation_temperature,A002_05_+35C,DYNdata/A002_DYN/A002_DYN_05_P35.mat,35,5,37360,prefix_output_error,0.98,0.10327855413367737,0.98,0.0,0.0,0.0,1.0,13.656201984061772,9.123845797123934,241.07267976905166,-5.2276545763436015,0.37129908754152835
BATT3c_OCV_discharge_only,train,A002_10_-5C,DYNdata/A002_DYN/A002_DYN_10_N05.mat,-5,10,37360,training_fit,0.950779876894667,0.06964934955237456,0.950779876894667,0.0,0.0,0.0,1.0,36.85323583937258,25.108577854521116,276.2729991776358,6.276938780878594,0.5965920493056002
BATT3c_OCV_discharge_only,validation_temperature,A002_10_-15C,DYNdata/A002_DYN/A002_DYN_10_N15.mat,-15,10,37360,prefix_output_error,0.98,0.1039873313569255,0.98,0.0,0.0,0.0,1.0,95.1099489941363,65.87438399874443,464.9334742834941,24.992261616816208,0.5548292023130998
BATT3c_OCV_discharge_only,train,A002_10_+5C,DYNdata/A002_DYN/A002_DYN_10_P05.mat,5,10,37360,training_fit,0.9756435728788649,0.10125578811619895,0.9756435728788649,0.0,0.0,0.0,1.0,22.107828538392067,14.125727982607529,248.98581708914813,4.675211512658534,0.5484220546904548
BATT3c_OCV_discharge_only,train,A002_10_+15C,DYNdata/A002_DYN/A002_DYN_10_P15.mat,15,10,37360,training_fit,0.98,0.09914780216934027,0.98,0.0,0.0,0.0,1.0,15.830979381891302,9.520329363294415,253.5414695739746,2.393187381924237,0.4116916178645615
BATT3c_OCV_discharge_only,train,A002_10_+45C,DYNdata/A002_DYN/A002_DYN_10_P45.mat,45,10,37360,training_fit,0.985844318592286,0.10765892507700536,0.985844318592286,0.0,0.0,0.0,1.0,11.3528365562569,6.181516922950093,245.90529182445397,-1.4529227988400968,0.29244719849016115
BATT3c_OCV_discharge_only,train,A002_15_-5C,DYNdata/A002_DYN/A002_DYN_15_N05.mat,-5,15,37360,training_fit,0.9541892222150338,0.07958741548464654,0.9541892222150338,0.0,0.0,0.0,1.0,43.18095822850254,28.513267826774687,274.3891161661414,9.162920432706306,0.6704475525110455
BATT3c_OCV_discharge_only,validation_temperature,A002_15_-15C,DYNdata/A002_DYN/A002_DYN_15_N15.mat,-15,15,37360,prefix_output_error,0.98,0.10636804492140428,0.98,0.0,0.0,0.0,1.0,100.1911050057686,70.47168627078379,509.9979237211567,22.527691244879417,0.5867332163677726
BATT3c_OCV_discharge_only,validation_temperature,A002_20_-15C,DYNdata/A002_DYN/A002_DYN_20_N15.mat,-15,20,37360,prefix_output_error,0.98,0.10588108887532754,0.98,0.0,0.0,0.0,1.0,106.53405123471686,74.44585100242045,554.2883876815328,17.08958009950935,0.6127619784664167
BATT3c_OCV_discharge_only,train,A002_20_+25C,DYNdata/A002_DYN/A002_DYN_20_P25.mat,25,20,37360,training_fit,0.9875440400104094,0.11008580563477899,0.9875440400104094,0.0,0.0,0.0,1.0,16.08284510221273,10.519400685598905,224.39885139465332,-1.136608679071602,0.42648101582091597
